dd/mm/y	who	where	what	what-x (Hebrew)	what-y (Hebrew)
2025-03-13 00:00:00	BD	תהלים	"Applied 16 auto-edits splitting 14 ""pasoleg"" into 13 leg + 1 pas."		
2025-03-12 00:00:00	BD	various	Applied 19 auto-edits distinguishing leg from pas in doc-notes.		
2025-03-11 00:00:00	BD	various	Applied 32 auto-edits, breaking up some very long lines.		
2025-03-11 00:00:00	BD	קהלת	Applied 1 auto-edit breaking up two very long lines.		
2025-03-11 00:00:00	BD	various	Applied 66 auto-edits, mostly related to section headings in chapters with songs.		
2025-03-08 00:00:00	BD	various	Applied 1231 auto-edits, the vast majority of which are מ:לגרמיה-2 edits.		
2025-03-08 00:00:00	BD	various	Applied 600 auto-edits, mainly מ:לגרמיה-2 edits in G, Js, & Ps.		
2025-03-06 00:00:00	BD	חמש מגילות	Applied 30 auto-edits.		
2025-03-06 00:00:00	BD	תורה	Applied 604 auto-edits. Most or all are related to מ:עלייה.		
2025-03-03 00:00:00	BD	various	Applied 4690 auto-edits, adding // to col C to sync with WS.		
2025-03-03 00:00:00	BD	various	Applied 53 auto-edits, mostly related removing newlines in column C.		
2025-03-02 00:00:00	BD	תורה	Applied 4 auto-edits, removing tapos-bold (''') (triple apostrophe bold) in first aliyah names (weekly portion names). These were four mysterious stragglers in early-Exodus, that for some reason were not part of the previous round of auto-edits.		
2025-03-02 00:00:00	BD	various	Applied 23 auto-edits, mostly related to removing tapos-bold (''') (triple apostrophe bold) in first aliyah names (weekly portion names).		
2025-03-02 00:00:00	BD	various	Applied 100 auto-edits related to // (double slash) in 0 (zero) rows.		
2025-03-02 00:00:00	BD	various	Applied 129 auto-edits related to // (double slash) in תתת rows.		
2025-02-28 00:00:00	BD	תורה	Applied 23 auto-edits related to החדש & de-bolding first aliyah names (weekly portion names).		
2025-02-27 00:00:00	BD	תורה	Applied 15 auto-edits related to de-bolding first aliyah names (weekly portion names).		
2025-02-17 00:00:00	BD	various	"Applied 10 auto-edits related to ""לשים לגרמיה בתוך נוסח""."		
2025-02-16 00:00:00	BD	"מל""ב יד & רות/ד"	Applied 3 auto-edits.		
2025-02-09 00:00:00	BD	various	Applied 53 auto-edits, mostly related to NoLoN (notes on little or nothing) and URLs.		
2025-02-06 00:00:00	BD	various	Applied 19 auto-edits, mostly related to NoLoN (notes on little or nothing).		
2025-02-04 00:00:00	BD	various	Applied 40 auto-edits.		
2025-01-23 00:00:00	BD	various	Applied 18 auto-edits related to de-bolding (or using מודגש rather than ''' for bold)		
2025-01-21 00:00:00	BD	various	Applied 19 auto-edits related to '''x''' becoming {{bold|x}}.		
